"contr_country","client_country"
"Afghanistan","Australia"
"Afghanistan","Austria"
"Afghanistan","Bangladesh"
"Afghanistan","Belgium"
"Afghanistan","Canada"
"Afghanistan","Germany"
"Afghanistan","India"
"Afghanistan","Japan"
"Afghanistan","Kenya"
"Afghanistan","Malaysia"
"Afghanistan","Netherlands"
"Afghanistan","New Zealand"
"Afghanistan","Pakistan"
"Afghanistan","Philippines"
"Afghanistan","Romania"
"Afghanistan","Singapore"
"Afghanistan","Spain"
"Afghanistan","Turkey"
"Afghanistan","United Kingdom"
"Afghanistan","United States"
"Afghanistan","United States Virgin Islands"
"Albania","Albania"
"Albania","American Samoa"
"Albania","Antigua and Barbuda"
"Albania","Argentina"
"Albania","Armenia"
"Albania","Australia"
"Albania","Austria"
"Albania","Bahrain"
"Albania","Bangladesh"
"Albania","Belgium"
"Albania","Bermuda"
"Albania","Bhutan"
"Albania","Bolivia"
"Albania","Brazil"
"Albania","Bulgaria"
"Albania","Canada"
"Albania","Cape Verde"
"Albania","Chile"
"Albania","China"
"Albania","Croatia"
"Albania","Cyprus"
"Albania","Czech Republic"
"Albania","Denmark"
"Albania","Ecuador"
"Albania","Egypt"
"Albania","Estonia"
"Albania","Ethiopia"
"Albania","Finland"
"Albania","France"
"Albania","Germany"
"Albania","Greece"
"Albania","Hong Kong"
"Albania","Hungary"
"Albania","India"
"Albania","Indonesia"
"Albania","Ireland"
"Albania","Israel"
"Albania","Italy"
"Albania","Japan"
"Albania","Jordan"
"Albania","Kenya"
"Albania","Korea, Democratic People's Republic of"
"Albania","Kuwait"
"Albania","Lebanon"
"Albania","Lithuania"
"Albania","Luxembourg"
"Albania","Macedonia"
"Albania","Malaysia"
"Albania","Malta"
"Albania","Mexico"
"Albania","Moldova"
"Albania","Morocco"
"Albania","Mozambique"
"Albania","Namibia"
"Albania","Nepal"
"Albania","Netherlands"
"Albania","New Zealand"
"Albania","Nigeria"
"Albania","Norway"
"Albania","Pakistan"
"Albania","Philippines"
"Albania","Poland"
"Albania","Portugal"
"Albania","Qatar"
"Albania","Romania"
"Albania","Russia"
"Albania","Saudi Arabia"
"Albania","Serbia"
"Albania","Singapore"
"Albania","Slovakia"
"Albania","Slovenia"
"Albania","South Africa"
"Albania","South Korea"
"Albania","Spain"
"Albania","Sri Lanka"
"Albania","Sweden"
"Albania","Switzerland"
"Albania","Thailand"
"Albania","Turkey"
"Albania","Ukraine"
"Albania","United Arab Emirates"
"Albania","United Kingdom"
"Albania","United States"
"Albania","United States Minor Outlying Islands"
"Albania","Vietnam"
"Algeria","245"
"Algeria","Albania"
"Algeria","Algeria"
"Algeria","American Samoa"
"Algeria","Andorra"
"Algeria","Angola"
"Algeria","Anguilla"
"Algeria","Antarctica"
"Algeria","Antigua and Barbuda"
"Algeria","Argentina"
"Algeria","Armenia"
"Algeria","Aruba"
"Algeria","Australia"
"Algeria","Austria"
"Algeria","Azerbaijan"
"Algeria","Bahamas"
"Algeria","Bahrain"
"Algeria","Bangladesh"
"Algeria","Barbados"
"Algeria","Belarus"
"Algeria","Belgium"
"Algeria","Belize"
"Algeria","Benin"
"Algeria","Bermuda"
"Algeria","Bolivia"
"Algeria","Bosnia and Herzegovina"
"Algeria","Brazil"
"Algeria","British Virgin Islands"
"Algeria","Bulgaria"
"Algeria","Cambodia"
"Algeria","Cameroon"
"Algeria","Canada"
"Algeria","Cape Verde"
"Algeria","Cayman Islands"
"Algeria","Chile"
"Algeria","China"
"Algeria","Colombia"
"Algeria","Congo, the Democratic Republic of the"
"Algeria","Costa Rica"
"Algeria","Cote d'Ivoire"
"Algeria","Croatia"
"Algeria","Cyprus"
"Algeria","Czech Republic"
"Algeria","Denmark"
"Algeria","Dominican Republic"
"Algeria","Ecuador"
"Algeria","Egypt"
"Algeria","El Salvador"
"Algeria","Estonia"
"Algeria","Ethiopia"
"Algeria","Faroe Islands"
"Algeria","Finland"
"Algeria","France"
"Algeria","Gabon"
"Algeria","Georgia"
"Algeria","Germany"
"Algeria","Ghana"
"Algeria","Gibraltar"
"Algeria","Greece"
"Algeria","Greenland"
"Algeria","Guadeloupe"
"Algeria","Guatemala"
"Algeria","Hong Kong"
"Algeria","Hungary"
"Algeria","Iceland"
"Algeria","India"
"Algeria","Indonesia"
"Algeria","Ireland"
"Algeria","Israel"
"Algeria","Italy"
"Algeria","Jamaica"
"Algeria","Japan"
"Algeria","Jordan"
"Algeria","Kazakhstan"
"Algeria","Kenya"
"Algeria","Kuwait"
"Algeria","Laos"
"Algeria","Latvia"
"Algeria","Lebanon"
"Algeria","Libya"
"Algeria","Liechtenstein"
"Algeria","Lithuania"
"Algeria","Luxembourg"
"Algeria","Macedonia"
"Algeria","Malaysia"
"Algeria","Malta"
"Algeria","Mauritania"
"Algeria","Mauritius"
"Algeria","Mexico"
"Algeria","Moldova"
"Algeria","Monaco"
"Algeria","Montenegro"
"Algeria","Morocco"
"Algeria","Namibia"
"Algeria","Nepal"
"Algeria","Netherlands"
"Algeria","Netherlands Antilles"
"Algeria","New Zealand"
"Algeria","Nicaragua"
"Algeria","Nigeria"
"Algeria","Norway"
"Algeria","Oman"
"Algeria","Pakistan"
"Algeria","Palestinian Territories"
"Algeria","Panama"
"Algeria","Papua New Guinea"
"Algeria","Peru"
"Algeria","Philippines"
"Algeria","Poland"
"Algeria","Portugal"
"Algeria","Puerto Rico"
"Algeria","Qatar"
"Algeria","Romania"
"Algeria","Russia"
"Algeria","Saint Kitts and Nevis"
"Algeria","Saint Lucia"
"Algeria","Saint Vincent and the Grenadines"
"Algeria","Saudi Arabia"
"Algeria","Serbia"
"Algeria","Seychelles"
"Algeria","Singapore"
"Algeria","Slovakia"
"Algeria","Slovenia"
"Algeria","Solomon Islands"
"Algeria","South Africa"
"Algeria","South Korea"
"Algeria","Spain"
"Algeria","Sri Lanka"
"Algeria","Swaziland"
"Algeria","Sweden"
"Algeria","Switzerland"
"Algeria","Taiwan"
"Algeria","Tanzania"
"Algeria","Thailand"
"Algeria","Tonga"
"Algeria","Trinidad and Tobago"
"Algeria","Tunisia"
"Algeria","Turkey"
"Algeria","Turkmenistan"
"Algeria","Uganda"
"Algeria","Ukraine"
"Algeria","United Arab Emirates"
"Algeria","United Kingdom"
"Algeria","United States"
"Algeria","United States Minor Outlying Islands"
"Algeria","United States Virgin Islands"
"Algeria","Uruguay"
"Algeria","Vanuatu"
"Algeria","Venezuela"
"Algeria","Vietnam"
"Algeria","Yemen"
"American Samoa","Australia"
"American Samoa","Bangladesh"
"American Samoa","Belgium"
"American Samoa","Brazil"
"American Samoa","Canada"
"American Samoa","China"
"American Samoa","Denmark"
"American Samoa","France"
"American Samoa","Germany"
"American Samoa","Hungary"
"American Samoa","India"
"American Samoa","Indonesia"
"American Samoa","Ireland"
"American Samoa","Israel"
"American Samoa","Japan"
"American Samoa","Netherlands"
"American Samoa","Pakistan"
"American Samoa","Philippines"
"American Samoa","Singapore"
"American Samoa","Slovakia"
"American Samoa","Slovenia"
"American Samoa","Spain"
"American Samoa","Sweden"
"American Samoa","United Arab Emirates"
"American Samoa","United Kingdom"
"American Samoa","United States"
"Andorra","Australia"
"Andorra","Belgium"
"Andorra","Canada"
"Andorra","France"
"Andorra","Germany"
"Andorra","Hungary"
"Andorra","Mexico"
"Andorra","Pakistan"
"Andorra","Philippines"
"Andorra","Saudi Arabia"
"Andorra","United Arab Emirates"
"Andorra","United Kingdom"
"Andorra","United States"
"Angola","United Arab Emirates"
"Angola","United Kingdom"
"Angola","United States"
"Anguilla","Australia"
"Anguilla","Pakistan"
"Anguilla","United Kingdom"
"Anguilla","United States"
"Antarctica","Germany"
"Antarctica","Israel"
"Antarctica","Philippines"
"Antarctica","United Kingdom"
"Antarctica","United States"
"Antigua and Barbuda","Australia"
"Antigua and Barbuda","Bangladesh"
"Antigua and Barbuda","Belgium"
"Antigua and Barbuda","Bolivia"
"Antigua and Barbuda","British Virgin Islands"
"Antigua and Barbuda","Cambodia"
"Antigua and Barbuda","Canada"
"Antigua and Barbuda","China"
"Antigua and Barbuda","France"
"Antigua and Barbuda","Germany"
"Antigua and Barbuda","Hong Kong"
"Antigua and Barbuda","India"
"Antigua and Barbuda","Ireland"
"Antigua and Barbuda","Israel"
"Antigua and Barbuda","Italy"
"Antigua and Barbuda","Kenya"
"Antigua and Barbuda","Lebanon"
"Antigua and Barbuda","Netherlands"
"Antigua and Barbuda","New Zealand"
"Antigua and Barbuda","Nicaragua"
"Antigua and Barbuda","Nigeria"
"Antigua and Barbuda","Pakistan"
"Antigua and Barbuda","Philippines"
"Antigua and Barbuda","Singapore"
"Antigua and Barbuda","South Africa"
"Antigua and Barbuda","Spain"
"Antigua and Barbuda","Sri Lanka"
"Antigua and Barbuda","Sweden"
"Antigua and Barbuda","Switzerland"
"Antigua and Barbuda","Taiwan"
"Antigua and Barbuda","Thailand"
"Antigua and Barbuda","United Arab Emirates"
"Antigua and Barbuda","United Kingdom"
"Antigua and Barbuda","United States"
"Argentina","Albania"
"Argentina","Algeria"
"Argentina","American Samoa"
"Argentina","Antarctica"
"Argentina","Argentina"
"Argentina","Armenia"
"Argentina","Aruba"
"Argentina","Australia"
"Argentina","Austria"
"Argentina","Azerbaijan"
"Argentina","Bahamas"
"Argentina","Bahrain"
"Argentina","Bangladesh"
"Argentina","Barbados"
"Argentina","Belarus"
"Argentina","Belgium"
"Argentina","Belize"
"Argentina","Bermuda"
"Argentina","Bolivia"
"Argentina","Bosnia and Herzegovina"
"Argentina","Brazil"
"Argentina","British Virgin Islands"
"Argentina","Bulgaria"
"Argentina","Cambodia"
"Argentina","Cameroon"
"Argentina","Canada"
"Argentina","Cape Verde"
"Argentina","Central African Republic"
"Argentina","Chile"
"Argentina","China"
"Argentina","Colombia"
"Argentina","Costa Rica"
"Argentina","Croatia"
"Argentina","Cyprus"
"Argentina","Czech Republic"
"Argentina","Denmark"
"Argentina","Dominican Republic"
"Argentina","Ecuador"
"Argentina","Egypt"
"Argentina","El Salvador"
"Argentina","Estonia"
"Argentina","Ethiopia"
"Argentina","Finland"
"Argentina","France"
"Argentina","Gabon"
"Argentina","Georgia"
"Argentina","Germany"
"Argentina","Ghana"
"Argentina","Gibraltar"
"Argentina","Greece"
"Argentina","Greenland"
"Argentina","Guam"
"Argentina","Guatemala"
"Argentina","Guyana"
"Argentina","Honduras"
"Argentina","Hong Kong"
"Argentina","Hungary"
"Argentina","Iceland"
"Argentina","India"
"Argentina","Indonesia"
"Argentina","Iraq"
"Argentina","Ireland"
"Argentina","Israel"
"Argentina","Italy"
"Argentina","Jamaica"
"Argentina","Japan"
"Argentina","Jordan"
"Argentina","Kazakhstan"
"Argentina","Kenya"
"Argentina","Kuwait"
"Argentina","Latvia"
"Argentina","Lebanon"
"Argentina","Lesotho"
"Argentina","Liechtenstein"
"Argentina","Lithuania"
"Argentina","Luxembourg"
"Argentina","Macedonia"
"Argentina","Malaysia"
"Argentina","Maldives"
"Argentina","Malta"
"Argentina","Mauritius"
"Argentina","Mexico"
"Argentina","Moldova"
"Argentina","Monaco"
"Argentina","Montenegro"
"Argentina","Morocco"
"Argentina","Mozambique"
"Argentina","Myanmar"
"Argentina","Namibia"
"Argentina","Nepal"
"Argentina","Netherlands"
"Argentina","Netherlands Antilles"
"Argentina","New Zealand"
"Argentina","Nicaragua"
"Argentina","Nigeria"
"Argentina","Norway"
"Argentina","Oman"
"Argentina","Pakistan"
"Argentina","Palestinian Territories"
"Argentina","Panama"
"Argentina","Paraguay"
"Argentina","Peru"
"Argentina","Philippines"
"Argentina","Poland"
"Argentina","Portugal"
"Argentina","Puerto Rico"
"Argentina","Qatar"
"Argentina","Romania"
"Argentina","Russia"
"Argentina","Saudi Arabia"
"Argentina","Serbia"
"Argentina","Seychelles"
"Argentina","Singapore"
"Argentina","Slovakia"
"Argentina","Slovenia"
"Argentina","South Africa"
"Argentina","South Korea"
"Argentina","Spain"
"Argentina","Sri Lanka"
"Argentina","Sweden"
"Argentina","Switzerland"
"Argentina","Taiwan"
"Argentina","Tajikistan"
"Argentina","Tanzania"
"Argentina","Thailand"
"Argentina","Trinidad and Tobago"
"Argentina","Tunisia"
"Argentina","Turkey"
"Argentina","Turkmenistan"
"Argentina","Turks and Caicos Islands"
"Argentina","Tuvalu"
"Argentina","Uganda"
"Argentina","Ukraine"
"Argentina","United Arab Emirates"
"Argentina","United Kingdom"
"Argentina","United States"
"Argentina","United States Minor Outlying Islands"
"Argentina","United States Virgin Islands"
"Argentina","Uruguay"
"Argentina","Vanuatu"
"Argentina","Venezuela"
"Argentina","Vietnam"
"Argentina","Yemen"
"Argentina","Zambia"
"Armenia","Albania"
"Armenia","Algeria"
"Armenia","American Samoa"
"Armenia","Andorra"
"Armenia","Anguilla"
"Armenia","Antarctica"
"Armenia","Antigua and Barbuda"
"Armenia","Argentina"
"Armenia","Armenia"
